rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_duration,koi_depth,koi_prad,koi_tce_plnt_num,koi_steff,koi_slogg,koi_srad
503,5780460,K01005.01,Kepler-747 b,CONFIRMED,CANDIDATE,1,8.4559,4.63E+03,5.17,1,5123,4.523,0.779
504,8244190,K01071.01,,FALSE POSITIVE,FALSE POSITIVE,0,1.8596,2.19E+02,1.29,1,5639,4.551,0.859
505,8229696,K01072.01,Kepler-761 b,CONFIRMED,CANDIDATE,0.998,3.517,4.77E+02,1.95,1,5676,4.548,0.82
506,8262210,K01073.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.394,1.04E+02,1.25,1,5580,4.223,1.205
507,10272640,K01074.01,Kepler-762 b,CONFIRMED,CANDIDATE,1,3.8077,1.24E+04,12.05,1,6322,4.426,1.075
508,10232123,K01075.01,,CANDIDATE,CANDIDATE,0.964,1.9405,4.70E+03,18.66,1,6324,3.8,2.312
509,10223616,K01076.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.4209,6.50E+03,15.25,2,4457,4.767,0.481
510,8415745,K01138.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.917,4.46E+03,35.8,1,5908,4.507,0.92
511,8378634,K01139.01,,FALSE POSITIVE,FALSE POSITIVE,0,5.63,4.27E+02,3.28,1,6506,4.336,1.217
512,8397675,K01140.01,,CANDIDATE,CANDIDATE,0.762,0.8875,1.04E+03,97.36,1,5679,3.565,3.142
513,8346392,K01141.01,Kepler-777 b,CONFIRMED,CANDIDATE,1,2.0295,6.43E+02,1.38,1,3968,4.714,0.548
514,8288947,K01142.01,Kepler-778 b,CONFIRMED,CANDIDATE,1,2.2911,4.17E+02,1.58,1,5311,4.588,0.788
515,2437804,K06269.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.685,5.52E+02,37.37,1,4475,2.329,16.755
516,8312852,K01143.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.991,5.47E+02,2.74,1,5815,4.54,0.877
517,9480189,K00941.01,Kepler-257 c,CONFIRMED,CANDIDATE,1,3.0896,2.32E+03,4.56,1,5188,4.4,0.973
518,11974540,K00129.01,Kepler-470 b,CONFIRMED,CANDIDATE,1,7.03515,7.38E+03,77.76,1,5313,2.936,9.327
519,9480189,K00941.02,Kepler-257 b,CONFIRMED,CANDIDATE,1,1.8888,7.05E+02,2.74,3,5188,4.4,0.973
520,9480189,K00941.03,Kepler-257 d,CONFIRMED,CANDIDATE,1,2.8579,2.40E+03,5.34,2,5188,4.4,0.973
521,9512687,K00942.01,Kepler-735 b,CONFIRMED,CANDIDATE,1,2.006,1.36E+03,2.9,1,5177,4.59,0.798
522,8644288,K00137.01,Kepler-18 c,CONFIRMED,CANDIDATE,1,3.41018,2.27E+03,4.91,2,5356,4.338,1.055
523,5738346,K01006.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.576,3.47E+03,19.68,1,3900,4.727,0.534
524,1725016,K01007.01,Kepler-748 b,CONFIRMED,CANDIDATE,1,3.675,4.42E+02,2.01,1,5922,4.474,0.961
525,1722276,K01008.01,,FALSE POSITIVE,FALSE POSITIVE,0,4.1904,1.89E+04,38.98,1,5367,3.783,2.057
526,892772,K01009.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.659,2.54E+02,1.17,1,5037,4.547,0.751
527,1027438,K01010.01,,FALSE POSITIVE,FALSE POSITIVE,,5,,,,,,
528,10268907,K01077.01,,FALSE POSITIVE,FALSE POSITIVE,0,0.926,3.18E+02,1.37,1,5409,4.609,0.746
529,5446285,K00142.01,Kepler-88 b,CONFIRMED,CANDIDATE,,3.6496,1.48E+03,3.93,,5575,4.521,0.932
530,10166274,K01078.01,Kepler-267 b,CONFIRMED,CANDIDATE,1,1.4598,1.26E+03,1.65,1,3789,4.781,0.46
531,10166274,K01078.02,Kepler-267 c,CONFIRMED,CANDIDATE,0.99,1.3692,1.63E+03,2.05,2,3789,4.781,0.46
532,10166274,K01078.03,Kepler-267 d,CONFIRMED,CANDIDATE,0.992,2.6657,1.63E+03,1.87,3,3789,4.781,0.46
533,10153827,K01079.01,,FALSE POSITIVE,FALSE POSITIVE,,2.3857,2.02E+03,26.35,,5665,4.554,0.843
534,5735762,K00148.03,Kepler-48 d,CONFIRMED,CANDIDATE,0.998,5.6897,5.55E+02,2,3,5192,4.489,0.873
535,8302450,K01144.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.759,2.52E+02,1.44,1,5970,4.564,0.796
536,8313667,K01145.01,,CANDIDATE,CANDIDATE,0.996,5.3698,4.65E+02,2.32,1,5944,4.38,1.082
537,8351704,K01146.01,Kepler-779 b,CONFIRMED,CANDIDATE,1,2.1059,3.70E+02,0.74,1,3569,4.861,0.389
538,8299955,K01147.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.957,7.98E+01,1.19,1,6180,4.262,1.223
539,9513865,K00943.01,Kepler-736 b,CONFIRMED,CANDIDATE,1,2.2753,7.78E+02,2.31,1,5052,4.48,0.855
540,9595686,K00944.01,,CANDIDATE,CANDIDATE,1,2.5048,1.87E+03,4.43,1,5330,4.495,0.847
541,9605514,K00945.01,,CANDIDATE,CANDIDATE,1,5.985,5.37E+02,2.4,2,6297,4.448,1.031
542,9605514,K00945.02,,CANDIDATE,CANDIDATE,0.999,6.894,6.81E+02,2.7,1,6297,4.448,1.031
543,9661877,K00946.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.447,1.27E+03,4.42,1,6014,4.494,0.958
544,5728283,K01011.01,,FALSE POSITIVE,FALSE POSITIVE,0,7.53837,4.73E+04,19.81,1,6038,4.524,0.898
545,8127639,K01012.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.3499,8.61E+02,3.78,1,5741,4.491,0.893
546,6047498,K01013.01,,FALSE POSITIVE,FALSE POSITIVE,0,1.252,7.14E+02,19.07,1,5572,4.597,0.762
547,8125580,K01014.01,Kepler-749 b,CONFIRMED,CANDIDATE,0.995,3.1518,1.47E+03,2.04,1,4719,4.753,0.502
548,8158127,K01015.01,Kepler-750 b,CONFIRMED,CANDIDATE,1,4.4481,5.65E+02,4.39,1,5897,3.98,1.86
549,10158990,K01080.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.1188,3.09E+02,1.35,1,5222,4.528,0.763
550,10149023,K01081.01,,FALSE POSITIVE,FALSE POSITIVE,0,5.615,5.11E+02,28.15,1,6161,4.454,1.053
551,10141900,K01082.01,,CANDIDATE,CANDIDATE,1,2.591,4.18E+02,1.67,1,4999,4.49,0.843
552,10141900,K01082.02,,CANDIDATE,CANDIDATE,0.695,2.19,3.02E+02,1.42,3,4999,4.49,0.843
553,10141900,K01082.03,Kepler-763 b,CONFIRMED,CANDIDATE,0.821,1.2592,2.25E+02,1.25,2,4999,4.49,0.843
554,8410727,K01148.01,Kepler-270 b,CONFIRMED,CANDIDATE,1,5.046,1.82E+02,2.07,1,6071,4.202,1.41
555,8410727,K01148.02,Kepler-270 c,CONFIRMED,CANDIDATE,0.998,6.22,1.26E+02,1.71,2,6071,4.202,1.41
556,8349405,K01149.01,,FALSE POSITIVE,FALSE POSITIVE,,1.29,,,,,,
557,8278371,K01150.01,Kepler-780 b,CONFIRMED,CANDIDATE,1,1.8361,7.67E+01,0.9,1,5718,4.395,1.037
558,8280511,K01151.01,Kepler-271 b,CONFIRMED,CANDIDATE,1,3.4167,2.10E+02,1.22,1,5528,4.499,0.853
559,8280511,K01151.02,Kepler-271 c,CONFIRMED,CANDIDATE,0.997,3.245,1.24E+02,0.94,2,5528,4.499,0.853
560,9710326,K00947.01,Kepler-737 b,CONFIRMED,CANDIDATE,1,3.6567,1.59E+03,1.83,1,3755,4.781,0.461
561,9761882,K00948.01,Kepler-738 b,CONFIRMED,CANDIDATE,1,3.984,9.08E+02,2.37,1,5474,4.605,0.749
562,5297298,K00130.01,,CANDIDATE,CANDIDATE,0.913,5.41382,1.37E+04,21.95,1,6129,3.991,1.786
563,9766437,K00949.01,Kepler-739 b,CONFIRMED,CANDIDATE,1,4.0168,1.15E+03,3.24,1,5997,4.522,0.904
564,9772531,K00950.01,,CANDIDATE,CANDIDATE,0.993,2.15663,3.45E+04,8.31,1,3748,4.796,0.449
565,9775938,K00951.01,Kepler-258 b,CONFIRMED,CANDIDATE,1,3.4872,2.14E+03,4.18,1,4954,4.462,0.885
566,8644288,K00137.02,Kepler-18 d,CONFIRMED,CANDIDATE,1,3.5252,3.27E+03,5.94,1,5356,4.338,1.055
567,8158127,K01015.02,Kepler-750 c,CONFIRMED,CANDIDATE,0.989,3.585,1.58E+02,2.36,2,5897,3.98,1.86
568,8176653,K01016.01,,FALSE POSITIVE,FALSE POSITIVE,0,1.1264,7.12E+02,2.93,1,5238,4.598,0.764
569,8174625,K01017.01,Kepler-751 b,CONFIRMED,CANDIDATE,1,4.445,8.27E+02,3.24,1,5568,4.413,0.966
570,8183911,K01018.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.76,1.59E+02,37.99,1,5300,3.69,2.124
571,8179973,K01019.01,,FALSE POSITIVE,FALSE POSITIVE,,3.79,,,,,,
572,10157458,K01083.01,Kepler-764 b,CONFIRMED,CANDIDATE,1,3.548,3.26E+02,1.52,1,5795,4.554,0.848
573,4649305,K00143.01,,CANDIDATE,CANDIDATE,0.983,3.6895,2.25E+03,7.62,1,6968,4.31,1.333
574,10148521,K01084.01,,FALSE POSITIVE,FALSE POSITIVE,0,1.3362,1.86E+02,1.19,1,5668,4.552,0.849
575,10118816,K01085.01,,CANDIDATE,CANDIDATE,0.993,1.84,3.07E+02,0.9,1,3975,4.753,0.509
576,10122255,K01086.01,Kepler-765 b,CONFIRMED,CANDIDATE,1,6.633,4.69E+02,2.21,1,6036,4.396,1.017
577,3124412,K01087.01,,FALSE POSITIVE,FALSE POSITIVE,0,4.0245,2.13E+03,36.87,1,6307,4.391,1.133
578,3835670,K00149.01,Kepler-473 b,CONFIRMED,CANDIDATE,1,7.7643,9.57E+02,4.32,1,5774,4.159,1.412
579,10287248,K01152.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.451,8.27E+04,14.45,1,3801,4.776,0.488
580,10351767,K01153.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.07171,3.31E+04,57.77,1,6340,4.434,1.058
581,10295951,K01154.01,,CANDIDATE,CANDIDATE,0.871,7.98574,1.44E+04,26.06,1,7226,3.967,2.079
582,10342041,K01155.01,,FALSE POSITIVE,FALSE POSITIVE,0,6.6522,2.94E+03,25.54,1,5252,4.596,0.716
583,10514770,K01156.01,,FALSE POSITIVE,FALSE POSITIVE,0,1.5261,3.02E+03,5.65,1,5337,4.486,0.825
584,9775938,K00951.02,Kepler-258 c,CONFIRMED,CANDIDATE,0.982,3.9616,1.14E+03,3.05,2,4954,4.462,0.885
585,9787239,K00952.01,Kepler-32 b,CONFIRMED,CANDIDATE,1,2.1979,1.53E+03,1.94,1,3731,4.75,0.498
586,9787239,K00952.02,Kepler-32 c,CONFIRMED,CANDIDATE,1,2.3742,1.37E+03,1.83,3,3731,4.75,0.498
587,9787239,K00952.03,Kepler-32 d,CONFIRMED,CANDIDATE,1,3.3002,1.93E+03,2.17,2,3731,4.75,0.498
588,9787239,K00952.04,Kepler-32 e,CONFIRMED,CANDIDATE,0.968,1.6776,6.14E+02,1.23,4,3731,4.75,0.498
589,9787239,K00952.05,Kepler-32 f,CONFIRMED,CANDIDATE,0.996,0.6688,8.43E+02,1.47,5,3731,4.75,0.498
590,2309719,K01020.01,,FALSE POSITIVE,FALSE POSITIVE,0,6.4345,1.05E+04,38.81,1,6161,4.281,1.255
591,2558363,K01021.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.0543,6.40E+02,18.93,1,5414,4.625,0.714
592,2716853,K01022.01,Kepler-752 b,CONFIRMED,CANDIDATE,1,4.664,1.01E+03,2.7,1,5687,4.538,0.86
593,2445154,K01023.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.923,8.20E+02,1.71,1,4502,4.668,0.621
594,2715135,K01024.01,Kepler-753 b,CONFIRMED,CANDIDATE,1,1.8923,8.20E+02,1.86,1,4252,4.64,0.632
595,8644288,K00137.03,Kepler-18 b,CONFIRMED,CANDIDATE,1,1.9811,3.15E+02,2.03,3,5356,4.338,1.055
596,3247268,K01089.01,Kepler-418 b,CONFIRMED,CANDIDATE,0.934,10.1289,8.24E+03,9.83,1,5822,4.351,1.081
597,3247268,K01089.02,,CANDIDATE,CANDIDATE,1,2.6969,1.84E+03,5.1,2,5822,4.351,1.081
598,3232859,K01090.01,,FALSE POSITIVE,FALSE POSITIVE,0,1.6477,4.95E+03,72.52,1,6089,4.044,1.795
599,3098184,K01091.01,,FALSE POSITIVE,FALSE POSITIVE,0,19.292,7.02E+03,9.84,1,6384,4.419,1.086
600,2720309,K01092.01,,FALSE POSITIVE,FALSE POSITIVE,,2.3808,2.03E+03,31.52,,5973,4.465,1.016
601,10342065,K01157.01,,FALSE POSITIVE,FALSE POSITIVE,0,6.551,1.72E+03,149.71,1,5438,3.424,4.319
602,10352945,K01158.01,,FALSE POSITIVE,FALSE POSITIVE,0,6.788,4.03E+02,2.08,1,6341,4.446,1.033
603,10354039,K01159.01,,CANDIDATE,CANDIDATE,0.894,5.796,2.49E+03,5.4,1,5043,4.47,0.881
604,10330115,K01160.01,Kepler-781 b,CONFIRMED,CANDIDATE,1,3.5641,1.15E+03,2.77,1,5333,4.62,0.728
605,10426656,K01161.01,Kepler-272 c,CONFIRMED,CANDIDATE,1,3.7419,3.85E+02,1.94,1,5334,4.372,1.004
606,9820483,K00953.01,Kepler-740 b,CONFIRMED,CANDIDATE,1,2.7316,2.61E+03,4.66,1,5739,4.518,0.922
607,9941662,K00013.01,Kepler-13 b,CONFIRMED,CANDIDATE,0.875,3.16877,4.59E+03,21.42,1,9107,3.867,3.031
608,7778437,K00131.01,Kepler-471 b,CONFIRMED,CANDIDATE,1,4.589,6.54E+03,10.63,1,6490,4.32,1.307
609,9823457,K00954.01,Kepler-259 b,CONFIRMED,CANDIDATE,1,3.211,8.35E+02,3.1,1,5926,4.532,0.887
610,9823457,K00954.02,Kepler-259 c,CONFIRMED,CANDIDATE,1,4.9381,9.02E+02,3.01,2,5926,4.532,0.887
611,2574201,K01025.01,,FALSE POSITIVE,FALSE POSITIVE,0,5.317,1.47E+03,10.05,1,3687,4.813,0.44
612,2166206,K01028.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.319,2.84E+02,34,1,5949,4.024,1.707
613,2164169,K01029.01,,CANDIDATE,CANDIDATE,1,6.569,6.78E+02,4.84,1,5821,4.108,1.494
614,2574338,K01030.01,,CANDIDATE,CANDIDATE,0.997,2.235,4.92E+02,2.79,1,6320,4.347,1.252
615,2584163,K01031.01,Kepler-754 b,CONFIRMED,CANDIDATE,0.885,5.624,2.91E+02,1.64,1,5959,4.46,0.966
616,4180280,K00144.01,Kepler-472 b,CONFIRMED,CANDIDATE,1,3.6716,1.36E+03,3.07,1,4957,4.594,0.776
617,3239636,K01093.01,,FALSE POSITIVE,FALSE POSITIVE,0,5.714,4.09E+02,47.75,1,6151,3.92,1.954
618,2721030,K01094.01,Kepler-766 b,CONFIRMED,CANDIDATE,0.994,4.7476,7.67E+02,2.59,1,5957,4.506,0.937
619,3329204,K01095.01,,CANDIDATE,CANDIDATE,0.997,2.0153,5.87E+03,6.57,1,5681,4.551,0.859
620,3230491,K01096.01,,CANDIDATE,CANDIDATE,,7.109,9.59E+03,9.8,,5606,4.597,0.76
621,3340070,K01097.01,,FALSE POSITIVE,FALSE POSITIVE,,7.033,4.02E+02,2.36,,5903,4.546,0.864
622,7626506,K00150.01,Kepler-112 b,CONFIRMED,CANDIDATE,1,3.4967,7.99E+02,2.28,1,5551,4.508,0.812
623,10426656,K01161.02,Kepler-272 d,CONFIRMED,CANDIDATE,0.991,3.0822,4.22E+02,2.41,2,5334,4.372,1.004
624,10426656,K01161.03,Kepler-272 b,CONFIRMED,CANDIDATE,0.961,2.716,2.33E+02,1.52,3,5334,4.372,1.004
625,10528068,K01162.01,Kepler-782 b,CONFIRMED,CANDIDATE,0.999,11.5372,8.98E+02,3.08,1,5751,4.34,1.034
626,10468940,K01163.01,Kepler-273 b,CONFIRMED,CANDIDATE,1,1.771,3.52E+02,1.92,1,5359,4.375,1.002
627,9825625,K00955.01,Kepler-741 b,CONFIRMED,CANDIDATE,1,3.8633,5.30E+02,2.45,1,6321,4.434,1.058
628,9875711,K00956.01,Kepler-742 b,CONFIRMED,CANDIDATE,1,2.7144,2.04E+03,3.67,1,4743,4.516,0.81
629,7661409,K00957.01,,FALSE POSITIVE,FALSE POSITIVE,0,8.2806,1.44E+03,31.01,1,6108,4.443,0.974
630,1026957,K00958.01,,CANDIDATE,CANDIDATE,1,1.243,1.30E+03,2.53,1,4859,4.612,0.72
631,10002261,K00959.01,,CANDIDATE,CANDIDATE,0.729,2.44093,3.67E+04,2.31,1,2661,5.283,0.116
632,8176650,K00960.01,,FALSE POSITIVE,FALSE POSITIVE,0,6.37505,3.75E+04,15.61,1,5383,4.587,0.789
633,2162635,K01032.01,,CANDIDATE,CANDIDATE,,25.727,4.13E+03,18.35,,5009,3.755,2.283
634,5899544,K01034.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.4894,5.90E+03,268.65,1,5415,4.603,0.742
635,5963222,K01035.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.3208,5.81E+03,14.49,1,6631,4.145,1.638
636,5982353,K01036.01,,FALSE POSITIVE,FALSE POSITIVE,0,6.9547,1.30E+04,23.76,1,6208,3.959,1.831
637,6205468,K01037.01,,FALSE POSITIVE,FALSE POSITIVE,0,12.8164,2.97E+03,5.67,1,5873,4.547,0.863
638,8506766,K00138.01,,FALSE POSITIVE,FALSE POSITIVE,0,6.5868,7.24E+03,24.19,1,7066,4.094,1.761
639,3240706,K01098.01,,FALSE POSITIVE,FALSE POSITIVE,0,4.02,5.99E+02,23.6,1,5982,4.493,0.96
640,2853093,K01099.01,Kepler-767 b,CONFIRMED,CANDIDATE,1,3.6734,4.65E+03,8.19,1,5778,4.285,1.213
641,3228824,K01100.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.8437,4.51E+02,1.45,1,4768,4.588,0.711
642,3245969,K01101.01,Kepler-768 b,CONFIRMED,CANDIDATE,1,2.303,4.49E+02,1.67,1,4983,4.617,0.728
643,3231341,K01102.01,Kepler-24 c,CONFIRMED,CANDIDATE,1,6.221,5.36E+02,4.12,1,5896,4.197,1.24
644,10468940,K01163.02,Kepler-273 c,CONFIRMED,CANDIDATE,1,3.0137,3.63E+02,2,2,5359,4.375,1.002
645,10341831,K01164.01,,FALSE POSITIVE,FALSE POSITIVE,0,6.606,4.15E+02,12.93,1,3682,4.786,0.48
646,10337517,K01165.01,,CANDIDATE,CANDIDATE,1,1.7244,5.12E+02,2.36,1,5357,4.498,0.863
647,10337517,K01165.02,Kepler-783 b,CONFIRMED,CANDIDATE,1,2.7,6.14E+01,0.68,2,5357,4.498,0.863
648,10351231,K01166.01,,CANDIDATE,CANDIDATE,0.994,1.9374,5.03E+02,2.8,1,6063,4.47,1.001
649,10485179,K01167.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.276,2.55E+02,1.21,1,5346,4.621,0.725
650,8561063,K00961.01,Kepler-42 b,CONFIRMED,CANDIDATE,1,0.5532,1.82E+03,0.78,1,3292,5.215,0.148
651,8561063,K00961.02,Kepler-42 c,CONFIRMED,FALSE POSITIVE,0,0.4445,1.46E+03,0.76,3,3292,5.215,0.148
652,8892910,K00132.01,,FALSE POSITIVE,FALSE POSITIVE,0,4.4618,6.17E+03,13.95,1,6211,4.269,1.284
653,10657664,K00964.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.07626,6.86E+03,22.36,1,10816,4.086,2.493
654,3337351,K00965.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.3208,7.13E+04,51.86,1,5730,4.417,1.035
655,5802486,K01039.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.4305,1.93E+03,33.01,1,5962,4.479,0.959
656,5817553,K01040.01,,FALSE POSITIVE,FALSE POSITIVE,0,10.7381,1.30E+03,32.66,1,6306,4.426,1.076
657,5982368,K01041.01,,FALSE POSITIVE,FALSE POSITIVE,0,6.8575,5.54E+03,9.73,1,5766,4.352,1.077
658,5816811,K01042.01,,FALSE POSITIVE,FALSE POSITIVE,0,4.9699,1.04E+03,8.88,1,6038,4.508,0.922
659,5816165,K01043.01,,FALSE POSITIVE,FALSE POSITIVE,0,1.0225,1.06E+03,27.21,1,5122,4.659,0.655
660,7102227,K01360.01,Kepler-290 c,CONFIRMED,CANDIDATE,1,4.42,1.35E+03,2.83,1,5142,4.602,0.755
661,7102227,K01360.02,Kepler-290 b,CONFIRMED,CANDIDATE,1,2.4184,8.31E+02,2.32,2,5142,4.602,0.755
662,7102227,K01360.03,,CANDIDATE,CANDIDATE,0.921,1.103,1.28E+02,0.86,3,5142,4.602,0.755
663,6960913,K01361.01,Kepler-61 b,CONFIRMED,CANDIDATE,0.998,4.8027,1.42E+03,2.19,1,4016,4.658,0.599
664,6837146,K01362.01,,CANDIDATE,CANDIDATE,1,3.4769,1.17E+03,2.58,1,5310,4.608,0.704
665,11122894,K01426.02,Kepler-297 c,CONFIRMED,CANDIDATE,0.907,4.74,4.12E+03,6.39,1,5618,4.46,0.897
666,11122894,K01426.03,,CANDIDATE,CANDIDATE,0.999,4.3823,4.32E+03,32.6,2,5618,4.46,0.897
667,11129738,K01427.01,Kepler-844 b,CONFIRMED,CANDIDATE,0.999,1.9588,6.00E+02,1.5,1,3883,4.725,0.517
668,11401182,K01428.01,Kepler-845 b,CONFIRMED,CANDIDATE,1,1.4279,5.15E+02,1.79,1,4815,4.631,0.699
669,11030711,K01429.01,,CANDIDATE,CANDIDATE,0.997,9.992,2.38E+03,4.68,1,5644,4.457,0.969
670,11512246,K00168.03,Kepler-23 b,CONFIRMED,CANDIDATE,0.996,5.1462,1.31E+02,1.72,3,5761,4.091,1.518
671,6607286,K01239.01,,CANDIDATE,CANDIDATE,1,1.6735,2.65E+02,1.98,1,5640,4.247,1.233
672,6607286,K01239.02,,CANDIDATE,CANDIDATE,0.545,2.3156,2.82E+02,2.09,2,5640,4.247,1.233
673,6690082,K01240.01,Kepler-280 b,CONFIRMED,CANDIDATE,1,2.0678,2.66E+02,1.76,1,5534,4.338,1.08
674,6690082,K01240.02,Kepler-280 c,CONFIRMED,CANDIDATE,1,0.9393,4.51E+02,2.96,2,5534,4.338,1.08
675,6448890,K01241.01,Kepler-56 c,CONFIRMED,CANDIDATE,1,11.721,4.09E+02,11.64,1,4838,3.299,4.361
676,6448890,K01241.02,Kepler-56 b,CONFIRMED,FALSE POSITIVE,0.098,14.522,1.83E+02,5.68,2,4838,3.299,4.361
677,10730034,K01305.01,Kepler-285 b,CONFIRMED,CANDIDATE,1,2.0206,2.60E+02,1.38,1,5114,4.463,0.878
678,10730034,K01305.02,Kepler-285 c,CONFIRMED,CANDIDATE,0.978,2.909,2.03E+02,1.21,2,5114,4.463,0.878
679,10858691,K01306.01,Kepler-286 b,CONFIRMED,CANDIDATE,1,1.9139,2.11E+02,1.2,1,5576,4.503,0.829
680,10858691,K01306.02,Kepler-286 c,CONFIRMED,CANDIDATE,0.994,2.361,2.44E+02,1.29,2,5576,4.503,0.829
681,10858691,K01306.03,Kepler-286 d,CONFIRMED,CANDIDATE,0.95,2.661,2.53E+02,1.31,3,5576,4.503,0.829
682,8107380,K00162.01,Kepler-476 b,CONFIRMED,CANDIDATE,1,4.6919,7.16E+02,3.11,1,5788,4.323,1.124
683,6936909,K01363.01,Kepler-291 b,CONFIRMED,CANDIDATE,1,2.2746,4.43E+02,2.18,1,5993,4.489,0.986
684,6936909,K01363.02,Kepler-291 c,CONFIRMED,CANDIDATE,0.983,1.6408,3.80E+02,2.03,2,5993,4.489,0.986
685,6962977,K01364.01,Kepler-292 f,CONFIRMED,CANDIDATE,1,4.522,8.03E+02,2.26,3,5296,4.538,0.808
686,6962977,K01364.02,Kepler-292 d,CONFIRMED,CANDIDATE,1,3.0479,7.06E+02,2.13,1,5296,4.538,0.808
687,11176127,K01430.01,Kepler-298 b,CONFIRMED,CANDIDATE,1,2.3024,1.07E+03,2.11,1,4463,4.677,0.611
688,11176127,K01430.02,Kepler-298 c,CONFIRMED,CANDIDATE,1,2.0831,9.09E+02,2.08,3,4463,4.677,0.611
689,11176127,K01430.03,Kepler-298 d,CONFIRMED,CANDIDATE,0.996,4.168,1.54E+03,2.63,2,4463,4.677,0.611
690,11075279,K01431.01,,CANDIDATE,CANDIDATE,0.998,7.5646,5.09E+03,7.79,1,5597,4.515,0.931
691,11014932,K01432.01,Kepler-299 c,CONFIRMED,CANDIDATE,1,4.148,4.29E+02,2.68,1,5616,4.394,0.999
692,6607447,K01242.01,,CANDIDATE,CANDIDATE,1,5.1772,3.22E+03,8.48,1,6102,4.447,1.016
693,6677256,K01243.01,,FALSE POSITIVE,FALSE POSITIVE,0,1.7895,2.39E+02,1.88,1,6358,4.346,1.181
694,8030148,K00155.01,Kepler-474 b,CONFIRMED,CANDIDATE,1,4.6483,7.38E+02,3.24,1,5746,4.266,1.173
695,6692833,K01244.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.7215,2.93E+02,1.71,1,6092,4.471,0.998
696,6693640,K01245.01,Kepler-798 b,CONFIRMED,CANDIDATE,1,5.5677,3.16E+02,1.98,1,6387,4.41,1.105
697,10858691,K01306.04,Kepler-286 e,CONFIRMED,CANDIDATE,0.91,4.014,3.94E+02,1.81,4,5576,4.503,0.829
698,10973814,K01307.01,Kepler-287 c,CONFIRMED,CANDIDATE,0.999,3.5729,7.81E+02,3.35,1,5514,4.345,1.071
699,10973814,K01307.02,Kepler-287 b,CONFIRMED,CANDIDATE,1,2.3351,5.65E+02,2.88,2,5514,4.345,1.071
700,6541920,K00157.05,Kepler-11 g,CONFIRMED,CANDIDATE,0.997,9.5574,1.08E+03,3.4,4,5657,4.364,1.046
701,10586208,K01308.01,Kepler-811 b,CONFIRMED,CANDIDATE,1,5.5545,4.29E+02,3,1,5655,4.152,1.354
702,6962977,K01364.03,Kepler-292 e,CONFIRMED,CANDIDATE,1,3.751,7.08E+02,2.11,2,5296,4.538,0.808
703,6962977,K01364.04,Kepler-292 c,CONFIRMED,CANDIDATE,0.857,2.558,3.32E+02,1.46,4,5296,4.538,0.808
704,6962977,K01364.05,Kepler-292 b,CONFIRMED,CANDIDATE,1,2.1729,2.70E+02,1.31,5,5296,4.538,0.808
705,7174351,K01365.01,,FALSE POSITIVE,FALSE POSITIVE,0,1.3233,2.96E+02,1.6,1,5650,4.551,0.876
706,6932987,K01366.01,Kepler-293 b,CONFIRMED,CANDIDATE,1,4.6509,9.88E+02,3.04,1,5798,4.507,0.941
707,11014932,K01432.02,Kepler-299 d,CONFIRMED,CANDIDATE,0.997,4.801,2.56E+02,1.6,2,5616,4.394,0.999
708,11014932,K01432.03,Kepler-299 b,CONFIRMED,CANDIDATE,0.999,2.545,1.70E+02,1.29,3,5616,4.394,0.999
709,11014932,K01432.04,Kepler-299 e,CONFIRMED,CANDIDATE,0.998,6.512,3.23E+02,1.77,4,5616,4.394,0.999
710,11288505,K01433.01,Kepler-846 b,CONFIRMED,CANDIDATE,1,3.453,6.16E+02,2.08,1,5775,4.558,0.84
711,11493431,K01434.01,Kepler-847 b,CONFIRMED,CANDIDATE,0.996,2.0424,2.47E+02,1.18,1,4798,4.533,0.782
712,6441738,K01246.01,,CANDIDATE,CANDIDATE,1,3.3882,4.01E+02,5.74,1,5248,3.523,2.892
